School Name,Website
University of Alaska,http://www.alaska.edu
Alaska Christian College,http://www.alaskacc.edu
National Park Community College,http://www.npcc.edu
University of Alaska Fairbanks,http://www.uaf.edu
University of Arkansas - Fort Smith,http://www.uafs.edu
Alabama A&M University,http://www.aamu.edu
Athens State University,http://www.athens.edu
Auburn University,http://www.auburn.edu
Auburn University at Montgomery,http://www.aum.edu
Birmingham-Southern College,http://www.bsc.edu
Calhoun Community College,http://www.calhoun.edu
Enterprise State Community College,http://www.escc.edu
Faulkner State Community College,http://www.faulknerstate.edu
Gadsden State Community College,http://www.gadsdenstate.edu
Huntingdon College,http://www.huntingdon.edu
Jacksonville State University,http://www.jsu.edu
Lurleen B. Wallace Community College,http://www.lbwcc.edu
University of Montevallo,http://www.montevallo.edu
Northeast Alabama Community College,http://www.nacc.edu
Northwest-Shoals Community College,http://www.nwscc.edu
Oakwood University,http://www.oakwood.edu
Samford University,http://www.samford.edu
Southeastern Bible College,http://www.sebc.edu
University of South Alabama,http://www.southalabama.edu
Trenholm State Technical College,http://www.trenholmstate.edu
Troy University,http://www.troy.edu
Tuskegee University,http://www.tuskegee.edu
University of Alabama,http://www.ua.edu
University of Alabama at Birmingham,http://www.uab.edu
University of Alabama in Huntsville,http://www.uah.edu
University of North Alabama,http://www.una.edu
Snead State Community College,http://www.snead.edu
Arkansas Northeastern College,http://www.anc.edu
Arkansas State University,http://www.astate.edu
Arkansas Tech University,http://www.atu.edu
Central Baptist College,http://www.cbc.edu
Harding University,http://www.harding.edu
Hendrix College,http://www.hendrix.edu
Henderson State University,http://www.hsu.edu
John Brown University,http://www.jbu.edu
Lyon College,http://www.lyon.edu
Mid-South Community College,http://www.midsouthcc.edu
North Arkansas College,http://www.northark.edu
Northwest Arkansas Community College,http://www.nwacc.edu
Northwest Technical Institute,http://www.nwti.edu
Ouachita Baptist University,http://www.obu.edu
University of the Ozarks,http://www.ozarks.edu
Phillips Community College U of A,http://www.pccua.edu
Pulaski Technical College,http://www.pulaskitech.edu
Southern Arkansas University Magnolia,http://www.saumag.edu
Southeast Arkansas College,http://www.seark.edu
University of Arkansas Community College Batesville,http://www.uaccb.edu
University of Arkansas at Little Rock,http://www.ualr.edu
University of Arkansas for Medical Sciences,http://www.uams.edu
University of Arkansas at Pine Bluff,http://www.uapb.edu
University of Arkansas,http://www.uark.edu
University of Central Arkansas,http://www.uca.edu
Williams Baptist College,http://www.wbcoll.edu
University of Arizona,http://www.arizona.edu
Arizona State University,http://www.asu.edu
Arizona Western College,http://www.azwestern.edu
Bryan University,http://www.bryanuniversity.edu
Central Arizona College,http://www.centralaz.edu
Glendale Community College,http://www.gccaz.edu
Grand Canyon University,http://www.gcu.edu
Maricopa Community Colleges,http://www.maricopa.edu
Mesa Community College,http://www.mesacc.edu
Northern Arizona University,http://www.nau.edu
Northland Pioneer College,http://www.npc.edu
University of Phoenix,http://www.phoenix.edu
Phoenix College,http://www.phoenixcollege.edu
Pima Community College,http://www.pima.edu
Prescott College,http://www.prescott.edu
Rio Salado College,http://www.riosalado.edu
South Mountain Community College,http://www.southmountaincc.edu
University of Advancing Technology,http://www.uat.edu
Yavapai College,http://www.yc.edu
Academy of Arts University,http://www.academyart.edu
Adance Computing Institute,http://www.advancedcomputinginstitute.edu
Acupuncture & Integrative Medicine College,http://www.aimc.edu
Alliant International University,http://www.alliant.edu
Allied American University,http://www.allied.edu
Anaheim University,http://www.anaheim.edu
Angeles College,http://www.angelescollege.edu
Antioch University Los Angeles,http://www.antiochla.edu
Argosy University,http://www.argosy.edu
Art Center College of Design,http://www.artcenter.edu
The Art Institute,http://www.artinstitutes.edu
Ashford University,http://www.ashford.edu
ATI College,http://www.ati.edu
Antelope Valley College,http://www.avc.edu
Bakersfield College,http://www.bakersfieldcollege.edu
Barstow Community College,http://www.barstow.edu
Berkeley University of California,http://www.berkeley.edu
Berkeley City College,http://www.berkeleycitycollege.edu
Brandman University,http://www.brandman.edu
Butte College,http://www.butte.edu
Cabrillo College,http://www.cabrillo.edu
California Institute of the Arts,http://www.calarts.edu
California Baptist University,http://www.calbaptist.edu
California Lutheran University,http://www.callutheran.edu
California Miramar University,http://www.calmu.edu
California Polytechnic State University,http://www.calpoly.edu
California State University,http://www.calstate.edu
California Institute of Technology,http://www.caltech.edu
Canada College,http://www.canadacollege.edu
College of the Canyons,http://www.canyons.edu
California College of the Arts,http://www.cca.edu
California Community Colleges Chanellor's Office,http://www.cccco.edu
City College of San Francisco,http://www.ccsf.edu
Cerritos College,http://www.cerritos.edu
Cerro Coso Community College,http://www.cerrocoso.edu
Claremont Graduate University,http://www.cgu.edu
Chaffey College,http://www.chaffey.edu
Chapman University,http://www.chapman.edu
California Institute of Integral Studies,http://www.ciis.edu
Citrus College,http://www.citruscollege.edu
The Claremont Colleges,http://www.claremont.edu
Claremont McKenna College,http://www.cmc.edu
Copper Mountain College,http://www.cmccd.edu
Cogswell Polytechnical College,http://www.cogswell.edu
College of San Mateo,http://www.collegeofsanmateo.edu
College of the Desert,http://www.collegeofthedesert.edu
El Camino College Compton Center,http://www.compton.edu
Contra Costa College,http://www.contracosta.edu
College of the Sequoias,http://www.cos.edu
Crafton Hills College,http://www.craftonhills.edu
California State University Bakersfield,http://www.csub.edu
California State University Channel Islands,http://www.csuci.edu
California State University Dominguez Hills,http://www.csudh.edu
California State University East Bay,http://www.csueastbay.edu
Fresno State,http://www.fresnostate.edu
California State University Long Beach,http://www.csulb.edu
California State University Monterey Bay,http://www.csumb.edu
California State University Northridge,http://www.csun.edu
California State Polytechnic University Pomona,http://www.csupomona.edu
California State University Sacramento,http://www.csus.edu
California State University San Bernardino,http://www.csusb.edu
California State University San Marcos,http://www.csusm.edu
California State University Stanislaus,http://www.csustan.edu
Cuesta College,http://www.cuesta.edu
Cuyamaca College,http://www.cuyamaca.edu
California Western School of Law San Diego,http://www.cwsl.edu
Cypress College,http://www.cypresscollege.edu
DeAnza College,http://www.deanza.edu
San Joaquin Delta College,http://www.deltacollege.edu
Dominican University of California,http://www.dominican.edu
Dominican School of Philosophy and Theology,http://www.dspt.edu
Diablo Valley College,http://www.dvc.edu
East Los Angeles College,http://www.elac.edu
El Camino College,http://www.elcamino.edu
Ex'pression College,http://www.expression.edu
Foothill-De Anza Community College District,http://www.fhda.edu
Fashion Institute of Design & Merchandising,http://www.fidm.edu
Fielding Graduate University,http://www.fielding.edu
Foothill College,http://www.foothill.edu
Fresno Pacific University,http://www.fresno.edu
Fresno City College,http://www.fresnocitycollege.edu
Frederick Taylor University,http://www.ftu.edu
Fullerton College,http://www.fullcoll.edu
Fuller Theological Seminary,http://www.fuller.edu
California State University Fullerton,http://www.fullerton.edu
Gavilan College,http://www.gavilan.edu
Golden Gate Baptist Theological Seminary,http://www.ggbts.edu
Glendale Community College,http://www.glendale.edu
Gnomon School of Visual Effects,http://www.gnomon.edu
Columbia College,http://www.gocolumbia.edu
Golden West College,http://www.goldenwestcollege.edu
Grossmont College,http://www.grossmont.edu
Allan Hancock College,http://www.hancockcollege.edu
Hartnell College,http://www.hartnell.edu
Henley-Putnam University,http://www.henley-putnam.edu
Harvey Mudd College,http://www.hmc.edu
Holy Names University,http://www.hnu.edu
Humboldt State University,http://www.humboldt.edu
Humphreys College,http://www.humphreys.edu
Imperial Valley College,http://www.imperial.edu
International Sports Sciences Association,http://www.issaonline.edu
International Technological University,http://www.itu.edu
Irvine Valley College,http://www.ivc.edu
William Jessup University,http://www.jessup.edu
John F. Kennedy University,http://www.jfku.edu
Keck Graduate Institute,http://www.kgi.edu
Mount Saint Mary's College,http://www.la.edu
Los Angeles Community College District,http://www.laccd.edu
Los Angeles City College,http://www.lacitycollege.edu
Los Angeles Harbor College,http://www.lahc.edu
Los Angeles Mission College,http://www.lamission.edu
Laney College,http://www.laney.edu
Los Angeles Southwest College,http://www.lasc.edu
La Sierra University,http://www.lasierra.edu
Las Positas College,http://www.laspositascollege.edu
Los Angeles Trade-Tech Community College,http://www.lattc.edu
Laurus College,http://www.lauruscollege.edu
Los Angeles Valley College,http://www.lavc.edu
University of La Verne,http://www.laverne.edu
UCLA School of Law,http://www.ucla.edu
Long Beach City College,http://www.lbcc.edu
Life Chiropractic College West,http://www.lifewest.edu
Loma Linda University,http://www.llu.edu
Loyola Marymount University,http://www.lmu.edu
Los Medanos College,http://www.losmedanos.edu
Los Rios Community College District,http://www.losrios.edu
Lake Tahoe Community College,http://www.ltcc.edu
College of Marin,http://www.marin.edu
Marymount California University,http://www.marymountcalifornia.edu
The Master's College,http://www.masters.edu
Merced Community College,http://www.mccd.edu
Mills College,http://www.mills.edu
MiraCosta College,http://www.miracosta.edu
Modesto Junior College,http://www.mjc.edu
Mount San Jacinto College,http://www.msjc.edu
Mount San Antonio College,http://www.mtsac.edu
Napa Valley College,http://www.napavalley.edu
Notre Dame de Namur University,http://www.ndnu.edu
NewSchool of Architecture and Design,http://www.newschoolarch.edu
Norco College,http://www.norcocollege.edu
Naval Postgraduate School,http://www.nps.edu
Ohlone College,http://www.ohlone.edu
Orange Coast College,http://www.orangecoastcollege.edu
Otis College of Art and Design,http://www.otis.edu
Occidental College,http://www.oxy.edu
University of the Pacific,http://www.pacific.edu
Pacific College of Oriental Medicine,http://www.pacificcollege.edu
Palomar College,http://www.palomar.edu
Pasadena City College,http://www.pasadena.edu
Pepperdine University,http://www.pepperdine.edu
Peralta Community College District,http://www.peralta.edu
Pierce College,http://www.piercecollege.edu
Pitzer College,http://www.pitzer.edu
Pacific Lutheran Theological Seminary,http://www.plts.edu
Point Loma Nazarene University,http://www.pointloma.edu
Pomona College,http://www.pomona.edu
Porterville College,http://www.portervillecollege.edu
Pacific School of Religion,http://www.psr.edu
Riverside City College,http://www.rcc.edu
Riverside Community College District,http://www.rccd.edu
University of Redlands,http://www.redlands.edu
College of the Redwoods,http://www.redwoods.edu
Rio Hondo College,http://www.riohondo.edu
Rosemead College,http://www.rosemeadcollege.edu
Santa Ana College,http://www.sac.edu
Saddleback College,http://www.saddleback.edu
University of San Diego,http://www.sandiego.edu
Santa Rosa Junior College,http://www.santarosa.edu
