School Name,URL
University of Alaska,http://alaska.edu
Alaska Christian College,http://alaskacc.edu
National Park Community College,http://npcc.edu
University of Alaska Fairbanks,http://uaf.edu
University of Arkansas - Fort Smith,http://uafs.edu
Alabama A&M University,http://aamu.edu
Athens State University,http://athens.edu
Auburn University,http://auburn.edu
Auburn University at Montgomery,http://aum.edu
Birmingham-Southern College,http://bsc.edu
Calhoun Community College,http://calhoun.edu
Enterprise State Community College,http://escc.edu
Faulkner State Community College,http://faulknerstate.edu
Gadsden State Community College,http://gadsdenstate.edu
Huntingdon College,http://huntingdon.edu
Jacksonville State University,http://jsu.edu
Lurleen B. Wallace Community College,http://lbwcc.edu
University of Montevallo,http://montevallo.edu
Northeast Alabama Community College,http://nacc.edu
Northwest-Shoals Community College,http://nwscc.edu
Oakwood University,http://oakwood.edu
Samford University,http://samford.edu
Southeastern Bible College,http://sebc.edu
University of South Alabama,http://southalabama.edu
Trenholm State Technical College,http://trenholmstate.edu
Troy University,http://troy.edu
Tuskegee University,http://tuskegee.edu
University of Alabama,http://ua.edu
University of Alabama at Birmingham,http://uab.edu
University of Alabama in Huntsville,http://uah.edu
University of North Alabama,http://una.edu
Snead State Community College,http://snead.edu
Arkansas Northeastern College,http://anc.edu
Arkansas State University,http://astate.edu
Arkansas Tech University,http://atu.edu
Central Baptist College,http://cbc.edu
Harding University,http://harding.edu
Hendrix College,http://hendrix.edu
Henderson State University,http://hsu.edu
John Brown University,http://jbu.edu
Lyon College,http://lyon.edu
Mid-South Community College,http://midsouthcc.edu
North Arkansas College,http://northark.edu
Northwest Arkansas Community College,http://nwacc.edu
Northwest Technical Institute,http://nwti.edu
Ouachita Baptist University,http://obu.edu
University of the Ozarks,http://ozarks.edu
Phillips Community College U of A,http://pccua.edu
Pulaski Technical College,http://pulaskitech.edu
Southern Arkansas University Magnolia,http://saumag.edu
Southeast Arkansas College,http://seark.edu
University of Arkansas Community College Batesville,http://uaccb.edu
University of Arkansas at Little Rock,http://ualr.edu
University of Arkansas for Medical Sciences,http://uams.edu
University of Arkansas at Pine Bluff,http://uapb.edu
University of Arkansas,http://uark.edu
University of Central Arkansas,http://uca.edu
Williams Baptist College,http://wbcoll.edu
University of Arizona,http://arizona.edu
Arizona State University,http://asu.edu
Arizona Western College,http://azwestern.edu
Bryan University,http://bryanuniversity.edu
Central Arizona College,http://centralaz.edu
Glendale Community College,http://gccaz.edu
Grand Canyon University,http://gcu.edu
Maricopa Community Colleges,http://maricopa.edu
Mesa Community College,http://mesacc.edu
Northern Arizona University,http://nau.edu
Northland Pioneer College,http://npc.edu
University of Phoenix,http://phoenix.edu
