Country Name,Date (Year),Region,Subregion,"Community health workers (per 1,000 people)",ARI treatment (% of children under 5 taken to a health provider),Current health expenditure per capita (current US$),"Hospital beds (per 1,000 people)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Specialist surgical workforce (per 100,000 population)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Incidence of malaria (per 1,000 population at risk)","Cause of death, by non-communicable diseases (% of total)",Diabetes prevalence (% of population ages 20 to 79),"Fertility rate, total (births per woman)","Immunization, measles (% of children ages 12-23 months)","Life expectancy at birth, total (years)",Low-birthweight babies (% of births),Population growth (annual %),Pregnant women receiving prenatal care (%),Risk of catastrophic expenditure for surgical care (% of people at risk),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,76.2,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,66.4,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,228.3995436,,,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,286.1519858,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,333.9366346,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,330.2236464,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,357.8985662,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,290.5032401,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,260.4125793,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,1.9,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,1.947,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,2.24,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,1.207,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,1.83,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,12.13,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,16.8,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,15.3,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,14.8,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,0,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,0,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,0.02,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,0,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,0,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,0,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,0,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,0,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,72.6,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,75,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,75.7,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,8.5,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,6.7,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,2.86,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,2.909,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,2.952,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,2.99,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,3.022,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,3.043,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,3.052,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,3.045,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,95,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,95,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,95,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,95,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,95,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,95,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,94,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,88,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,80,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,74.938,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,75.199,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,75.436,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,75.661,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,75.878,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,76.09,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,76.298,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,76.499,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,1.805018696,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,1.883313834,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,1.951415209,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,2.002727839,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,2.033592452,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,2.045387243,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,2.051354584,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,2.044952503,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,2.00737383,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,92.7,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,17,
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,7.4,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,6.7,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,6.3,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,5.4,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,7.3,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,6,
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,5.9,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/10,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,0.7
Algeria,1/1/11,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/12,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/13,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/14,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/15,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/16,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,0.9
Algeria,1/1/17,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/18,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Algeria,1/1/19,Africa,Northern Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/10,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/11,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/12,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/13,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/14,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/15,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/16,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/17,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/18,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/19,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
Angola,1/1/10,Africa,Middle Africa,,,,,,,,,,,,,,,,,,,
